,dimensions_used,scores_cv,scores_absolute
0,1,0.536632655853,0.536240662225
1,2,0.628496219517,0.629719362003
2,4,0.762573470744,0.772461134666
3,6,0.774082984942,0.779931354735
4,8,0.775092677996,0.779729456895
5,12,0.780744371354,0.789016757521
6,18,0.804366649979,0.817080557238
7,26,0.834045121084,0.847769028871
8,37,0.848175955084,0.869573995558
9,54,0.857459603634,0.878457500505
10,78,0.859281615251,0.890369473047
11,112,0.867362098423,0.903492832627
12,162,0.868369837231,0.909347869978
13,233,0.881891905059,0.920452251161
14,335,0.884115509729,0.932162325863
15,483,0.871597597928,0.939430648092
16,695,0.871997235682,0.944679991924
17,1000,0.870987545791,0.952150211993
